GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
OpenPOS,com.bizstudio.ui.components.application,ApplicationTopBar,31,0,0,0,12,0,2,0,2,0
OpenPOS,com.bizstudio.ui.components.application,NavigationBar,110,0,2,0,38,0,11,0,10,0
OpenPOS,com.bizstudio.ui.components.application,PageStack,27,0,0,0,10,0,1,0,1,0
OpenPOS,com.bizstudio.application.entities.conveters,PageConverter,20,0,0,0,6,0,3,0,3,0
OpenPOS,com.bizstudio.security.entities.controllers.exceptions,NonexistentEntityException,9,0,0,0,4,0,2,0,2,0
OpenPOS,com.bizstudio.security.entities.controllers.exceptions,PreexistingEntityException,9,0,0,0,4,0,2,0,2,0
OpenPOS,com.bizstudio.security.entities.controllers.exceptions,IllegalOrphanException,28,0,6,0,6,0,5,0,2,0
OpenPOS,com.bizstudio.application.entities,NotificationEntity,106,0,12,0,32,0,24,0,18,0
OpenPOS,com.bizstudio.inventory.entities,AddressEntity,99,0,12,0,29,0,22,0,16,0
OpenPOS,com.bizstudio.inventory.entities,ItemCategoryEntity,71,0,12,0,17,0,14,0,8,0
OpenPOS,com.bizstudio.inventory.entities,ItemVariantEntity,95,0,12,0,25,0,18,0,12,0
OpenPOS,com.bizstudio.inventory.entities,ItemEntity,109,0,12,0,31,0,22,0,16,0
OpenPOS,com.bizstudio.inventory.entities,ItemAttributeEntity,99,0,12,0,29,0,22,0,16,0
OpenPOS,com.bizstudio.inventory.entities,ItemPropEntity,83,0,12,0,19,0,16,0,10,0
OpenPOS,com.bizstudio.inventory.entities,ItemStockEntity,85,0,12,0,21,0,18,0,12,0
OpenPOS,com.bizstudio.inventory.entities,ItemAttrModifierType,48,0,0,0,2,0,4,0,4,0
OpenPOS,com.bizstudio.inventory.entities,LocationEntity,106,0,12,0,32,0,24,0,18,0
OpenPOS,com.bizstudio.application,FXMLController,12,0,0,0,5,0,3,0,3,0
OpenPOS,com.bizstudio.application,OpenPOS,64,0,8,0,21,0,8,0,4,0
OpenPOS,com.bizstudio.security.entities,AuditLogEntity,106,0,12,0,32,0,24,0,18,0
OpenPOS,com.bizstudio.security.entities,CredentialEntity,92,3,12,0,26,2,18,1,12,1
OpenPOS,com.bizstudio.security.entities,SessionEntity,118,122,14,2,35,34,27,6,19,6
OpenPOS,com.bizstudio.security.entities,UserRoleEntity,21,3,0,0,9,2,6,1,6,1
OpenPOS,com.bizstudio.security.entities,UserPermissionEntity,26,3,2,0,9,2,6,1,5,1
OpenPOS,com.bizstudio.security.entities,AbstractEntity,23,0,0,0,8,0,6,0,6,0
OpenPOS,com.bizstudio.security.entities,UserAccountEntity,39,35,0,0,17,7,11,3,11,3
OpenPOS,com.bizstudio.security.entities,PrincipalEntity,77,17,11,1,23,5,17,2,11,2
OpenPOS,com.bizstudio.xmpp.dtos,XMPPMessage,23,0,0,0,10,0,5,0,5,0
OpenPOS,com.bizstudio.xmpp.dtos,XMPPPayload,28,0,0,0,11,0,6,0,6,0
OpenPOS,com.bizstudio.ui.pages.application,HomePage,11,0,0,0,7,0,7,0,7,0
OpenPOS,com.bizstudio.ui.pages.application,LoginPage,159,0,6,0,48,0,16,0,13,0
OpenPOS,com.bizstudio.ui.pages.application,ApplicationContainer,327,0,4,0,81,0,13,0,11,0
OpenPOS,com.bizstudio.ui.pages.application,ApplicationPage,55,0,0,0,18,0,11,0,11,0
OpenPOS,com.bizstudio.security.entities.enums,UserPermissions,29,8,4,0,7,1,6,2,4,2
OpenPOS,com.bizstudio.security.entities.enums,AuditLogAction,48,0,0,0,4,0,4,0,4,0
OpenPOS,com.bizstudio.ui.components.util,Alert,133,0,6,0,34,0,12,0,9,0
OpenPOS,com.bizstudio.ui.components.login,UsernamePasswordInput,84,0,0,0,21,0,4,0,4,0
OpenPOS,com.bizstudio.ui.components.login,PinLoginInput,65,0,0,0,17,0,3,0,3,0
OpenPOS,com.bizstudio.security.entities.controllers,PrincipalEntityJpaController,360,0,36,0,85,0,28,0,10,0
OpenPOS,com.bizstudio.security.entities.controllers,SessionEntityJpaController,129,130,16,4,19,43,12,8,2,8
OpenPOS,com.bizstudio.security.entities.controllers,UserPermissionEntityJpaController,259,0,20,0,62,0,20,0,10,0
OpenPOS,com.bizstudio.security.entities.controllers,UserAccountEntityJpaController,684,32,71,1,156,11,45,3,9,3
OpenPOS,com.bizstudio.security.entities.controllers,UserRoleEntityJpaController,251,37,22,2,58,11,20,3,8,3
OpenPOS,com.bizstudio.security.entities.controllers,AuditLogEntityJpaController,259,0,20,0,62,0,20,0,10,0
OpenPOS,com.bizstudio.security.entities.controllers,CredentialEntityJpaController,360,0,36,0,85,0,28,0,10,0
OpenPOS,com.bizstudio.inventory.entities.listeners,EntityListener,73,0,0,0,22,0,5,0,5,0
OpenPOS,com.bizstudio.utils,ApplicationMessageUtil,49,0,0,0,16,0,7,0,7,0
OpenPOS,com.bizstudio.utils,ObservableList,3,0,0,0,1,0,1,0,1,0
OpenPOS,com.bizstudio.utils,MessageType,90,0,0,0,11,0,5,0,5,0
OpenPOS,com.bizstudio.utils,ApplicationMessageUtil.AlertMessageUtilHolder,3,0,0,0,1,0,1,0,1,0
OpenPOS,com.bizstudio.security.util,SessionAttributesConverter,52,50,5,1,12,16,3,3,0,3
OpenPOS,com.bizstudio.security.util,CredentialConverter,32,29,0,0,8,6,1,3,1,3
OpenPOS,com.bizstudio.application.managers,NetworkCommunicationManager,329,0,2,0,75,0,22,0,21,0
OpenPOS,com.bizstudio.application.managers,NavigationManger.ListChangeListenerImpl,279,0,18,0,53,0,12,0,3,0
OpenPOS,com.bizstudio.application.managers,NavigationManger,367,0,24,0,90,0,26,0,14,0
OpenPOS,com.bizstudio.application.managers,NavigationManger.NavigationMangerHolder,9,0,0,0,2,0,2,0,2,0
OpenPOS,com.bizstudio.application.managers,NetworkCommunicationManager.NetworkCommunicationManagerHolder,9,0,0,0,2,0,2,0,2,0
OpenPOS,com.bizstudio.application.managers,NotificationManager.NotificationManagerHolder,9,0,0,0,2,0,2,0,2,0
OpenPOS,com.bizstudio.application.managers,NotificationManager,46,0,4,0,14,0,8,0,6,0
OpenPOS,com.bizstudio.xmpp.enums,XmppPayloadAction,28,0,0,0,2,0,4,0,4,0
OpenPOS,com.bizstudio.security.service,BasicIniEnvironment,16,0,0,0,5,0,2,0,2,0
OpenPOS,com.bizstudio.security.service,PersistenceManger.PersistenceMangerHolder,3,6,0,0,1,1,1,1,1,1
OpenPOS,com.bizstudio.security.service,PinToken,160,0,12,0,41,0,25,0,19,0
OpenPOS,com.bizstudio.security.service,SecurityService,284,336,45,29,60,81,44,15,8,14
OpenPOS,com.bizstudio.security.service,PersistenceManger,0,19,0,0,0,7,0,4,0,4
OpenPOS,com.bizstudio.application.enums,NavigationRoute,79,0,0,0,10,0,5,0,5,0
OpenPOS,com.bizstudio.application.enums,NotificationType,58,0,0,0,2,0,4,0,4,0
OpenPOS,com.bizstudio.application.enums,PageState,48,0,0,0,4,0,4,0,4,0
OpenPOS,com.bizstudio.application.enums,NotificationState,48,0,0,0,2,0,4,0,4,0
